"GEOID10","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
"53033030306",6,0.137438074040623,6372497.42474716,280827912.532082,281347775.99567,"Federal Way - Central","53033030306",6,"geographic overlap",2023-03-13
"53033030308",6,0.999999999999859,23188004.8000605,280827912.532082,281347775.99567,"Federal Way - Central","53033030308",6,"geographic overlap",2023-03-13
"53033030309",6,0.610221501848341,14592593.1977268,280827912.532082,281347775.99567,"Federal Way - Central","53033030309",6,"geographic overlap",2023-03-13
"53033030310",6,0.0121615308060075,419653.055383626,280827912.532082,281347775.99567,"Federal Way - Central","53033030310",6,"geographic overlap",2023-03-13
"53033030311",6,0.538618601381905,11042154.8162757,280827912.532082,281347775.99567,"Federal Way - Central","53033030311",6,"geographic overlap",2023-03-13
"53033030312",6,0.0537501760922241,1073464.85748781,280827912.532082,281347775.99567,"Federal Way - Central","53033030312",6,"geographic overlap",2023-03-13
"53033030314",6,0.341886593021169,9215233.91570146,280827912.532082,281347775.99567,"Federal Way - Central","53033030314",6,"geographic overlap",2023-03-13
"53033990100",6,0.0295344380074423,76172548.7848641,280827912.532082,281347775.99567,"Federal Way - Central","53033990100",6,"geographic overlap",2023-03-13
"53033029802",7,0.0303737293849095,2298841.13272308,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033029802",7,"geographic overlap",2023-03-13
"53033029901",7,0.0501290296152499,2193906.25935489,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033029901",7,"geographic overlap",2023-03-13
"53033030003",7,0.110226278564553,6625359.58029702,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030003",7,"geographic overlap",2023-03-13
"53033030004",7,0.999995762268605,21939605.5104065,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030004",7,"geographic overlap",2023-03-13
"53033030005",7,0.999999999999998,23404685.4775514,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030005",7,"geographic overlap",2023-03-13
"53033030006",7,1,23128546.7484296,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030006",7,"geographic overlap",2023-03-13
"53033030100",7,0.140140413097666,11803014.1271217,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030100",7,"geographic overlap",2023-03-13
"53033030202",7,0.541368039075153,19068142.8279405,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030202",7,"geographic overlap",2023-03-13
"53033030313",7,0.389551521221997,16783379.6865434,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030313",7,"geographic overlap",2023-03-13
"53033030314",7,0.54566296009064,14707835.6361812,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030314",7,"geographic overlap",2023-03-13
"53033030401",7,8.05986030900389e-07,108.34134702172,141953425.327896,141953425.327884,"Federal Way - North Corridor","53033030401",7,"geographic overlap",2023-03-13
"53033025602",8,0.416332083563102,23325340.0962231,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033025602",8,"geographic overlap",2023-03-13
"53033029307",8,0.19508440110518,8127846.10237455,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033029307",8,"geographic overlap",2023-03-13
"53033031501",8,0.622111952777839,1094548089.34244,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031501",8,"geographic overlap",2023-03-13
"53033031502",8,0.440295417905076,4906699058.51404,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031502",8,"geographic overlap",2023-03-13
"53033031603",8,0.426878606210384,264359151.019344,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031603",8,"geographic overlap",2023-03-13
"53033031604",8,0.00922626603413938,412960.555003545,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031604",8,"geographic overlap",2023-03-13
"53033031605",8,0.0722035732636704,13178406.0109705,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031605",8,"geographic overlap",2023-03-13
"53033031703",8,0.0564405674419578,4728608.47414185,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031703",8,"geographic overlap",2023-03-13
"53033031705",8,0.456812288414679,24852834.0542894,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031705",8,"geographic overlap",2023-03-13
"53033031706",8,6.99907424880655e-17,3.14752531763857e-09,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031706",8,"geographic overlap",2023-03-13
"53033031800",8,0.923371234279423,280032144.492451,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031800",8,"geographic overlap",2023-03-13
"53033031903",8,0.480920973380587,60756868.2013534,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031903",8,"geographic overlap",2023-03-13
"53033031904",8,0.181225043266762,37279313.6984303,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031904",8,"geographic overlap",2023-03-13
"53033031906",8,0.786087371692087,95985792.787121,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031906",8,"geographic overlap",2023-03-13
"53033031907",8,0.101223270524714,6033501.13527468,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031907",8,"geographic overlap",2023-03-13
"53033031909",8,0.0616886668769957,1272308.90199669,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033031909",8,"geographic overlap",2023-03-13
"53033032002",8,0.742870844957286,222148275.02083,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032002",8,"geographic overlap",2023-03-13
"53033032003",8,0.979917465293766,1291801369.34573,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032003",8,"geographic overlap",2023-03-13
"53033032005",8,0.37639526973017,26017497.5896095,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032005",8,"geographic overlap",2023-03-13
"53033032007",8,0.822631063259134,103048372.390873,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032007",8,"geographic overlap",2023-03-13
"53033032008",8,0.0465116289326398,1227462.19006836,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032008",8,"geographic overlap",2023-03-13
"53033032010",8,0.338050227726644,17542670.2585491,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032010",8,"geographic overlap",2023-03-13
"53033032011",8,4.29208056346591e-07,16.8486206565874,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032011",8,"geographic overlap",2023-03-13
"53033032102",8,0.000175420159647073,149403.457487975,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032102",8,"geographic overlap",2023-03-13
