"GEOID20","hra20_id","hra20_name","region_id","region_name","creation_date"
"530330313011017",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021000",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024019",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032012",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011035",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313021001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022007",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032014",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022009",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001046",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013039",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012058",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012059",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012060",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022005",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315022014",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315022015",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012064",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012065",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033006",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001057",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033008",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012009",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012010",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
