"GEOID10","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
"53033030202",7,0.45016062804897,3616.78770436361,31219.3751871774,31219.3751871774,"Federal Way - North Corridor","53033030202",7,"point population",2023-03-15
"53033030313",7,0.647001733729302,3195.89270796223,31219.3751871774,31219.3751871774,"Federal Way - North Corridor","53033030313",7,"point population",2023-03-15
"53033030314",7,0.384144605863004,1789.7507918674,31219.3751871774,31219.3751871774,"Federal Way - North Corridor","53033030314",7,"point population",2023-03-15
"53033025602",8,0.34184749345272,2432.47233608101,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033025602",8,"point population",2023-03-15
"53033029307",8,0.0754674476233387,293.403458952002,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033029307",8,"point population",2023-03-15
"53033031501",8,0.697378596048037,2833.5804826994,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031501",8,"point population",2023-03-15
"53033031502",8,0.000330760785664217,1.73339668793785,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031502",8,"point population",2023-03-15
"53033031603",8,0.0814889024215268,661.611513238016,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031603",8,"point population",2023-03-15
"53033031605",8,0.0148855809820043,54.1102891362856,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031605",8,"point population",2023-03-15
"53033031703",8,0.00719488522008014,56.3484173628939,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031703",8,"point population",2023-03-15
"53033031705",8,0.0669863149910623,289.539577632418,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031705",8,"point population",2023-03-15
"53033031800",8,0.540076300363892,2678.82412728613,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031800",8,"point population",2023-03-15
"53033031903",8,0.593137252219158,4562.24498876729,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031903",8,"point population",2023-03-15
"53033031904",8,0.0769817702943336,269.137656850527,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031904",8,"point population",2023-03-15
"53033031906",8,0.370007142446697,1611.21615972614,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033031906",8,"point population",2023-03-15
"53033032002",8,0.81818181818182,2492.93161967241,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033032002",8,"point population",2023-03-15
"53033032003",8,0.998639228912506,5120.78411562782,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033032003",8,"point population",2023-03-15
"53033032005",8,0.0787129419070019,555.618535936439,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033032005",8,"point population",2023-03-15
"53033032007",8,0.290391161849333,1270.59020007482,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033032007",8,"point population",2023-03-15
"53033032008",8,0.0135135135135137,60.270298053341,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033032008",8,"point population",2023-03-15
"53033032010",8,0.0102956152579051,73.2659553771324,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley","53033032010",8,"point population",2023-03-15
"53033029203",9,0.0478263777468299,210.286132075456,30871.5885884052,30871.5885884052,"Kent - South","53033029203",9,"point population",2023-03-15
"53033029502",9,0.679233305575747,5379.59891099611,30871.5885884052,30871.5885884052,"Kent - South","53033029502",9,"point population",2023-03-15
"53033029503",9,0.15241089601873,1338.59297519849,30871.5885884052,30871.5885884052,"Kent - South","53033029503",9,"point population",2023-03-15
"53033029504",9,0.0099979592219263,65.2391239993491,30871.5885884052,30871.5885884052,"Kent - South","53033029504",9,"point population",2023-03-15
"53033029601",9,0.814905180908621,6462.32457287207,30871.5885884052,30871.5885884052,"Kent - South","53033029601",9,"point population",2023-03-15
"53033029602",9,0.12568976088289,931.212832468154,30871.5885884052,30871.5885884052,"Kent - South","53033029602",9,"point population",2023-03-15
