"hra_id","hra_name","GEOID20","census","version","reg_id","reg_nm"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312023009",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024004",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025027",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313021007",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025029",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024011",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022001",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011016",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011017",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312021000",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024019",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032012",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011035",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313021001",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022007",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032014",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022009",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001046",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315013039",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012058",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012059",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012060",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022005",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315022014",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315022015",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012064",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012065",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316033006",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001057",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316033008",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313012009",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313012010",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001020",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025018",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313012013",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315022013",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316031040",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315013018",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025021",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012078",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316033018",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316033019",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024006",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025028",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024010",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312021010",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022000",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022002",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315013016",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312021014",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022003",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024018",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022004",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024020",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032013",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022006",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001045",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315013038",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012057",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001047",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032018",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011041",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315013001",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001051",2020,5,4,"South"
