"ZIP","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
98072,54,0.357836989714186,8287.64611621573,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98072,54,"point population",2023-03-13
98074,54,0.0369303070894482,1158.08335694345,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98074,54,"point population",2023-03-13
98075,54,0.000127474241280086,3.35409975735413,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98075,54,"point population",2023-03-13
98077,54,0.999547403617871,12695.8599525389,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98077,54,"point population",2023-03-13
98107,55,0.786567271805971,23390.8127147003,54859.1307367591,54859.1307367591,"Seattle - Ballard",98107,55,"point population",2023-03-13
98117,55,0.730456023574549,25778.1427483172,54859.1307367591,54859.1307367591,"Seattle - Ballard",98117,55,"point population",2023-03-13
98133,55,0.0400532499479875,2033.29501975886,54859.1307367591,54859.1307367591,"Seattle - Ballard",98133,55,"point population",2023-03-13
98177,55,0.169969940015283,3656.88025398257,54859.1307367591,54859.1307367591,"Seattle - Ballard",98177,55,"point population",2023-03-13
98103,56,0.0123258862830822,672.165106757566,48540.161740736,48540.161740736,"Seattle - Northgate and Lake City",98103,56,"point population",2023-03-13
98115,56,0.142728775961025,7964.53944311488,48540.161740736,48540.161740736,"Seattle - Northgate and Lake City",98115,56,"point population",2023-03-13
98125,56,0.879057124504331,38137.2420470995,48540.161740736,48540.161740736,"Seattle - Northgate and Lake City",98125,56,"point population",2023-03-13
98133,56,0.0327628375132663,1663.19872757892,48540.161740736,48540.161740736,"Seattle - Northgate and Lake City",98133,56,"point population",2023-03-13
98155,56,0.00279784110864101,103.016416186654,48540.161740736,48540.161740736,"Seattle - Northgate and Lake City",98155,56,"point population",2023-03-13
98034,57,0.715170318319005,37234.9218489687,37234.9218489687,37234.9218489687,"Kirkland - North",98034,57,"point population",2023-03-13
