"hra20_id","hra20_name","place20","tract20","bg20","creation_date"
19,"Renton - South",NA,NA,"530330257023",2023-03-15
19,"Renton - South",NA,NA,"530330258041",2023-03-15
19,"Renton - South",NA,NA,"530330258042",2023-03-15
19,"Renton - South",NA,NA,"530330260041",2023-03-15
19,"Renton - South",NA,NA,"530330260042",2023-03-15
19,"Renton - South",NA,NA,"530330262001",2023-03-15
19,"Renton - South",NA,NA,"530330293041",2023-03-15
19,"Renton - South",NA,NA,"530330293053",2023-03-15
20,"Burien","5308850",NA,NA,2023-03-15
21,"Tukwila","5372625",NA,NA,2023-03-15
22,"Newcastle and Four Creeks","5348645",NA,NA,2023-03-15
22,"Newcastle and Four Creeks",NA,"53033032102",NA,2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330247043",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330250052",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330250061",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330250063",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330251041",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330251043",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330319041",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330319042",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330319121",2023-03-15
22,"Newcastle and Four Creeks",NA,NA,"530330321041",2023-03-15
23,"Renton - North",NA,"53033025101",NA,2023-03-15
23,"Renton - North",NA,"53033025103",NA,2023-03-15
23,"Renton - North",NA,"53033025201",NA,2023-03-15
23,"Renton - North",NA,"53033025302",NA,2023-03-15
23,"Renton - North",NA,"53033025303",NA,2023-03-15
23,"Renton - North",NA,"53033025304",NA,2023-03-15
23,"Renton - North",NA,"53033025401",NA,2023-03-15
23,"Renton - North",NA,"53033025402",NA,2023-03-15
23,"Renton - North",NA,"53033025500",NA,2023-03-15
23,"Renton - North",NA,"53033025601",NA,2023-03-15
23,"Renton - North",NA,NA,"530330247031",2023-03-15
23,"Renton - North",NA,NA,"530330251042",2023-03-15
23,"Renton - North",NA,NA,"530330252021",2023-03-15
23,"Renton - North",NA,NA,"530330252022",2023-03-15
23,"Renton - North",NA,NA,"530330252023",2023-03-15
23,"Renton - North",NA,NA,"530330256021",2023-03-15
23,"Renton - North",NA,NA,"530330256022",2023-03-15
23,"Renton - North",NA,NA,"530330256023",2023-03-15
23,"Renton - North",NA,NA,"530330257021",2023-03-15
23,"Renton - North",NA,NA,"530330257041",2023-03-15
23,"Renton - North",NA,NA,"530330257042",2023-03-15
23,"Renton - North",NA,NA,"530330319103",2023-03-15
23,"Renton - North",NA,NA,"530330319131",2023-03-15
24,"Skyway","5308552",NA,NA,2023-03-15
25,"Snoqualmie and North Bend","5349485",NA,NA,2023-03-15
25,"Snoqualmie and North Bend","5365205",NA,NA,2023-03-15
26,"North Highline and White Center","5307397",NA,NA,2023-03-15
26,"North Highline and White Center","5378225",NA,NA,2023-03-15
