"hra_id","GEOID10","hra_name","reg_id","reg_nm","creation"
1,"530330312025031","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025032","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025033","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025034","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025035","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025036","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025037","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025038","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025039","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025041","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025042","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025043","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025044","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025045","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041000","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041001","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041002","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041003","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041004","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041005","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041006","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041007","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041008","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041009","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041010","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041011","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041014","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041015","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041016","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041017","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041018","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041019","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041020","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041021","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041022","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041023","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041024","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041025","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312041026","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312042000","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312042001","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312042002","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312042003","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312042004","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312042005","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312042006","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043000","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043001","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043002","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043003","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043004","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043005","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043006","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043007","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043008","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043009","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043010","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043011","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043014","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043015","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043016","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043017","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043018","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043019","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043020","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043021","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043022","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043023","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043024","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043025","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043026","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043027","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043028","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043029","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043030","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043031","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043032","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043033","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043034","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043035","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312043036","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044000","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044001","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044002","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044003","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044004","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044005","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044006","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044007","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044008","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044009","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044010","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044011","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044014","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044015","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044016","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044017","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312044018","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045000","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045001","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045002","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045003","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045004","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045005","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045006","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045007","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045008","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045009","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045010","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045011","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312045013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312051010","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312051011","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312051012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312051013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312051014","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
