"ZIP","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
98136,27,0.00434135668608797,73.4503333332,34463.7567000051,34463.7567000051,"Seattle - Delridge",98136,27,"point population",2026-04-13
98027,28,0.717828459501611,21344.907999999,41559.9999999987,41559.9999999987,"Issaquah",98027,28,"point population",2026-04-13
98029,28,0.624763922058122,20215.0920000001,41559.9999999987,41559.9999999987,"Issaquah",98029,28,"point population",2026-04-13
98108,29,0.0780888020645661,2010.98807966801,58654.1330000029,58654.1330000029,"Seattle - Rainier Valley and Rainier Beach",98108,29,"point population",2026-04-13
98118,29,0.760569843728997,40041.3740512876,58654.1330000029,58654.1330000029,"Seattle - Rainier Valley and Rainier Beach",98118,29,"point population",2026-04-13
98144,29,0.243475369749667,10012.7425357172,58654.1330000029,58654.1330000029,"Seattle - Rainier Valley and Rainier Beach",98144,29,"point population",2026-04-13
98178,29,0.250218692569544,6589.02833332963,58654.1330000029,58654.1330000029,"Seattle - Rainier Valley and Rainier Beach",98178,29,"point population",2026-04-13
98104,30,0.0424252277335923,964.9319999999,35123.6390000088,35123.6390000088,"Seattle - South Beacon Hill, Georgetown, and South Park",98104,30,"point population",2026-04-13
98108,30,0.745981972156787,19210.9600095306,35123.6390000088,35123.6390000088,"Seattle - South Beacon Hill, Georgetown, and South Park",98108,30,"point population",2026-04-13
98118,30,0.239430156270999,12605.1703541133,35123.6390000088,35123.6390000088,"Seattle - South Beacon Hill, Georgetown, and South Park",98118,30,"point population",2026-04-13
98134,30,0.996707127911079,1197.42683333569,35123.6390000088,35123.6390000088,"Seattle - South Beacon Hill, Georgetown, and South Park",98134,30,"point population",2026-04-13
98144,30,0.0238123032461588,979.263166665908,35123.6390000088,35123.6390000088,"Seattle - South Beacon Hill, Georgetown, and South Park",98144,30,"point population",2026-04-13
98178,30,0.00629955361637243,165.886636363391,35123.6390000088,35123.6390000088,"Seattle - South Beacon Hill, Georgetown, and South Park",98178,30,"point population",2026-04-13
