"btfid","gtfid","stfid","hra"
530330323201002,530330323201,53033032320,"Bothell/Woodinville"
530330201002002,530330201002,53033020100,"Shoreline"
530330203005012,530330203005,53033020300,"Shoreline"
530330203001007,530330203001,53033020300,"Shoreline"
530330204021005,530330204021,53033020402,"Kenmore/LFP"
530330201002001,530330201002,53033020100,"Shoreline"
530330323201001,530330323201,53033032320,"Bear Creek/Carnation/Duvall"
530330201002000,530330201002,53033020100,"Shoreline"
530330323201000,530330323201,53033032320,"Bear Creek/Carnation/Duvall"
530330218023006,530330218023,53033021802,"Bothell/Woodinville"
530330323071004,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330323073004,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330323071003,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330323073001,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330323073003,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330202002010,530330202002,53033020200,"Shoreline"
530330323073002,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330323191002,530330323191,53033032319,"Bothell/Woodinville"
530330203005999,530330203005,53033020300,"Shoreline"
530330202002011,530330202002,53033020200,"Shoreline"
530330323071002,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330218031004,530330218031,53033021803,"Bothell/Woodinville"
530330323201006,530330323201,53033032320,"Bothell/Woodinville"
530330323201007,530330323201,53033032320,"Bothell/Woodinville"
530330323113007,530330323113,53033032311,"Bear Creek/Carnation/Duvall"
530330218021006,530330218021,53033021802,"Bothell/Woodinville"
530330218021007,530330218021,53033021802,"Bothell/Woodinville"
530330323113006,530330323113,53033032311,"Bear Creek/Carnation/Duvall"
530330218041007,530330218041,53033021804,"Bothell/Woodinville"
530330323113002,530330323113,53033032311,"Bear Creek/Carnation/Duvall"
530330215004001,530330215004,53033021500,"Kenmore/LFP"
530330201002009,530330201002,53033020100,"Shoreline"
530330201002010,530330201002,53033020100,"Shoreline"
530330203004008,530330203004,53033020300,"Shoreline"
530330324011008,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330203004003,530330203004,53033020300,"Shoreline"
530330323191007,530330323191,53033032319,"Bothell/Woodinville"
530330203004005,530330203004,53033020300,"Shoreline"
530330201002011,530330201002,53033020100,"Shoreline"
530330203001005,530330203001,53033020300,"Shoreline"
530330324011013,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330201002012,530330201002,53033020100,"Shoreline"
530330201002013,530330201002,53033020100,"Shoreline"
530330203001008,530330203001,53033020300,"Shoreline"
