"geo_id_blk","hra","vid"
530330031005014,"Ballard",2000
530330031005015,"Ballard",2000
530330031005016,"Ballard",2000
530330031005017,"Ballard",2000
530330031005018,"Ballard",2000
530330031005019,"Ballard",2000
530330031005020,"Ballard",2000
530330031005021,"Ballard",2000
530330031005022,"Ballard",2000
530330031005023,"Ballard",2000
530330031005024,"Ballard",2000
530330031005025,"Ballard",2000
530330031005026,"Ballard",2000
530330031005027,"Ballard",2000
530330031005028,"Ballard",2000
530330031005030,"Ballard",2000
530330031005031,"Ballard",2000
530330031005032,"Ballard",2000
530330031005033,"Ballard",2000
530330032001000,"Ballard",2000
530330032001001,"Ballard",2000
530330032001002,"Ballard",2000
530330032001003,"Ballard",2000
530330032001004,"Ballard",2000
530330032001005,"Ballard",2000
530330032001006,"Ballard",2000
530330032001007,"Ballard",2000
530330032001008,"Ballard",2000
530330032001009,"Ballard",2000
530330032001010,"Ballard",2000
530330032001011,"Ballard",2000
530330032002000,"Ballard",2000
530330032002001,"Ballard",2000
530330032002002,"Ballard",2000
530330032002003,"Ballard",2000
530330032002004,"Ballard",2000
530330032002005,"Ballard",2000
530330032002006,"Ballard",2000
530330032002007,"Ballard",2000
530330032002008,"Ballard",2000
530330032002009,"Ballard",2000
530330032002010,"Ballard",2000
530330032002011,"Ballard",2000
530330032003000,"Ballard",2000
530330032003001,"Ballard",2000
530330032003002,"Ballard",2000
530330032003003,"Ballard",2000
530330032003004,"Ballard",2000
530330032003005,"Ballard",2000
530330032003006,"Ballard",2000
530330032003007,"Ballard",2000
530330032003008,"Ballard",2000
530330032003009,"Ballard",2000
530330032003010,"Ballard",2000
530330032003011,"Ballard",2000
530330032003012,"Ballard",2000
530330032003013,"Ballard",2000
530330032003014,"Ballard",2000
530330032003015,"Ballard",2000
530330032003016,"Ballard",2000
530330032003017,"Ballard",2000
530330032003020,"Ballard",2000
530330032003021,"Ballard",2000
530330032003022,"Ballard",2000
530330032003023,"Ballard",2000
530330032003024,"Ballard",2000
530330032003025,"Ballard",2000
530330032004000,"Ballard",2000
530330032004001,"Ballard",2000
530330032004002,"Ballard",2000
530330032004003,"Ballard",2000
530330032004004,"Ballard",2000
530330032004005,"Ballard",2000
530330032004006,"Ballard",2000
530330032004007,"Ballard",2000
530330032004008,"Ballard",2000
530330032004009,"Ballard",2000
530330032004010,"Ballard",2000
530330032004011,"Ballard",2000
530330032004012,"Ballard",2000
530330032004013,"Ballard",2000
530330032004014,"Ballard",2000
530330032004015,"Ballard",2000
530330032004016,"Ballard",2000
530330032004017,"Ballard",2000
530330032004018,"Ballard",2000
530330032004019,"Ballard",2000
530330032005000,"Ballard",2000
530330032005001,"Ballard",2000
530330032005002,"Ballard",2000
530330032005003,"Ballard",2000
530330032005004,"Ballard",2000
530330032005005,"Ballard",2000
530330032005006,"Ballard",2000
530330032005007,"Ballard",2000
530330032005008,"Ballard",2000
530330032005009,"Ballard",2000
530330032005010,"Ballard",2000
530330032005011,"Ballard",2000
530330032005012,"Ballard",2000
530330032006000,"Ballard",2000
530330032006001,"Ballard",2000
530330032006002,"Ballard",2000
530330032006003,"Ballard",2000
530330032006004,"Ballard",2000
530330032006005,"Ballard",2000
530330032006006,"Ballard",2000
530330032006007,"Ballard",2000
530330032006011,"Ballard",2000
530330032006012,"Ballard",2000
530330032006013,"Ballard",2000
530330032006014,"Ballard",2000
530330032006015,"Ballard",2000
530330032006016,"Ballard",2000
530330032006017,"Ballard",2000
530330032006018,"Ballard",2000
530330032006019,"Ballard",2000
530330032006020,"Ballard",2000
530330032006022,"Ballard",2000
530330032006026,"Ballard",2000
530330032006027,"Ballard",2000
530330032006028,"Ballard",2000
530330032006029,"Ballard",2000
530330032006030,"Ballard",2000
530330032006031,"Ballard",2000
530330032006032,"Ballard",2000
530330032006033,"Ballard",2000
530330032006034,"Ballard",2000
530330032006035,"Ballard",2000
530330032006036,"Ballard",2000
530330032006037,"Ballard",2000
530330032006038,"Ballard",2000
530330032006039,"Ballard",2000
530330032006040,"Ballard",2000
530330032006041,"Ballard",2000
530330032006042,"Ballard",2000
530330032006043,"Ballard",2000
530330032006044,"Ballard",2000
530330032006045,"Ballard",2000
530330032006046,"Ballard",2000
530330032007000,"Ballard",2000
530330032007001,"Ballard",2000
530330032007002,"Ballard",2000
530330032007003,"Ballard",2000
530330032007004,"Ballard",2000
530330032007005,"Ballard",2000
530330032007006,"Ballard",2000
530330032007007,"Ballard",2000
530330032007008,"Ballard",2000
530330032007009,"Ballard",2000
530330032007010,"Ballard",2000
530330032007011,"Ballard",2000
530330032007012,"Ballard",2000
530330032007013,"Ballard",2000
530330032007014,"Ballard",2000
530330032007015,"Ballard",2000
530330032007016,"Ballard",2000
530330032007017,"Ballard",2000
530330032007018,"Ballard",2000
530330032007019,"Ballard",2000
530330032007020,"Ballard",2000
530330033001000,"Ballard",2000
530330033001001,"Ballard",2000
530330033001002,"Ballard",2000
530330033001003,"Ballard",2000
530330033001004,"Ballard",2000
530330033001005,"Ballard",2000
530330033001006,"Ballard",2000
530330033001007,"Ballard",2000
530330033001008,"Ballard",2000
530330033001009,"Ballard",2000
530330033001010,"Ballard",2000
530330033001011,"Ballard",2000
530330033001012,"Ballard",2000
530330033001013,"Ballard",2000
530330033001014,"Ballard",2000
530330033001015,"Ballard",2000
530330033001016,"Ballard",2000
530330033001017,"Ballard",2000
530330033001018,"Ballard",2000
530330033001019,"Ballard",2000
530330033002000,"Ballard",2000
530330033002001,"Ballard",2000
530330033002002,"Ballard",2000
530330033002003,"Ballard",2000
530330033002004,"Ballard",2000
530330033002005,"Ballard",2000
530330033002006,"Ballard",2000
530330033002007,"Ballard",2000
530330033002008,"Ballard",2000
530330033002009,"Ballard",2000
530330033002010,"Ballard",2000
530330033002011,"Ballard",2000
530330033002012,"Ballard",2000
530330033002013,"Ballard",2000
530330033002014,"Ballard",2000
530330033003000,"Ballard",2000
530330033003001,"Ballard",2000
530330033003002,"Ballard",2000
530330033003003,"Ballard",2000
530330033003004,"Ballard",2000
530330033003005,"Ballard",2000
530330033003006,"Ballard",2000
530330033003007,"Ballard",2000
530330033003008,"Ballard",2000
