"ZIP","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
98126,26,0.0140769059702934,1490251.91155761,98340560.866697,98340581.3164068,"North Highline and White Center",98126,26,"geographic overlap",2026-04-13
98146,26,0.161308771004756,41566558.7767879,98340560.866697,98340581.3164068,"North Highline and White Center",98146,26,"geographic overlap",2026-04-13
98168,26,0.116542216349734,30290824.7900083,98340560.866697,98340581.3164068,"North Highline and White Center",98168,26,"geographic overlap",2026-04-13
98106,27,0.72144433678839,110035405.983833,156687608.154493,156687634.786442,"Seattle - Delridge",98106,27,"geographic overlap",2026-04-13
98108,27,0.0258307826938912,5570934.0280119,156687608.154493,156687634.786442,"Seattle - Delridge",98108,27,"geographic overlap",2026-04-13
98126,27,0.384513035928845,40706479.6782072,156687608.154493,156687634.786442,"Seattle - Delridge",98126,27,"geographic overlap",2026-04-13
98134,27,0.00128861584508752,161780.442996569,156687608.154493,156687634.786442,"Seattle - Delridge",98134,27,"geographic overlap",2026-04-13
98136,27,0.000880204307357778,210701.607838184,156687608.154493,156687634.786442,"Seattle - Delridge",98136,27,"geographic overlap",2026-04-13
98146,27,8.92087059346854e-06,2298.75839704089,156687608.154493,156687634.786442,"Seattle - Delridge",98146,27,"geographic overlap",2026-04-13
98168,27,2.94529787511019e-08,7.65520896064118,156687608.154493,156687634.786442,"Seattle - Delridge",98168,27,"geographic overlap",2026-04-13
98006,28,9.03232070737267e-05,31133.0783681516,367427720.22781,367427753.128239,"Issaquah",98006,28,"geographic overlap",2026-04-13
98008,28,0.00600623242244815,1327822.99815525,367427720.22781,367427753.128239,"Issaquah",98008,28,"geographic overlap",2026-04-13
98027,28,0.157764848842981,254014217.432551,367427720.22781,367427753.128239,"Issaquah",98027,28,"geographic overlap",2026-04-13
98029,28,0.400553318423936,110645699.070608,367427720.22781,367427753.128239,"Issaquah",98029,28,"geographic overlap",2026-04-13
98075,28,0.00419306206700808,1408847.64812715,367427720.22781,367427753.128239,"Issaquah",98075,28,"geographic overlap",2026-04-13
98040,29,0.0144695838795369,5145830.85761166,308901905.993082,308901936.388342,"Seattle - Rainier Valley and Rainier Beach",98040,29,"geographic overlap",2026-04-13
