"scd_id","geo_year","scd_name","scd_state_id","scd_cou_code","scd_lea_code","scd_esd_name"
"5305340","2010","Oakesdale School District","WA-30029","38","38324","Educational Service District 101"
"5305370","2010","Oakville School District","WA-39090","14","14400","Capital Region ESD 113"
"5305400","2010","Ocean Beach School District","WA-29320","25","25101","Educational Service District 112"
"5305430","2010","Ocosta School District","WA-31006","14","14172","Capital Region ESD 113"
"5305460","2010","Odessa School District","WA-39003","22","22105","Educational Service District 101"
"5305490","2010","Office of the Governor (Sch for Blind)","WA-21014","06","34974","Office of Superintendent of Public Instruction"
"5305520","2010","Okanogan School District","WA-25155","24","24105","North Central Educational Service District 171"
"5305550","2010","Olympia School District","WA-24014","34","34111","Capital Region ESD 113"
"5305610","2010","Olympic Educational Service District 114","WA-26056","18","18801","Office of Superintendent of Public Instruction"
"5305640","2010","Omak School District","WA-32325","24","24019","North Central Educational Service District 171"
"5305670","2010","Onalaska School District","WA-37506","21","21300","Capital Region ESD 113"
"5305700","2010","Onion Creek School District","WA-14064","33","33030","Educational Service District 101"
"5305730","2010","Orcas Island School District","WA-11051","28","28137","Northwest Educational Service District 189"
"5305760","2010","Orchard Prairie School District","WA-18400","32","32123","Educational Service District 101"
"5305790","2010","Orient School District","WA-23403","10","10065","Educational Service District 101"
"5305820","2010","Orondo School District","WA-25200","09","09013","North Central Educational Service District 171"
"5305850","2010","Oroville School District","WA-34003","24","24410","North Central Educational Service District 171"
"5305880","2010","Orting School District","WA-33211","27","27344","Puget Sound Educational Service District 121"
"5305910","2010","Othello School District","WA-17417","01","01147","Educational Service District 123"
"5305940","2010","Palisades School District","WA-15201","09","09102","North Central Educational Service District 171"
"5305970","2010","Palouse School District","WA-38324","38","38301","Educational Service District 101"
"5306000","2010","Pasco School District","WA-14400","11","11001","Educational Service District 123"
"5306060","2010","Pateros School District","WA-25101","24","24122","North Central Educational Service District 171"
"5306090","2010","Paterson School District","WA-14172","03","03050","Educational Service District 123"
"5306120","2010","Pe Ell School District","WA-22105","21","21301","Capital Region ESD 113"
"5306150","2010","Peninsula School District","WA-24105","27","27401","Puget Sound Educational Service District 121"
"5306180","2010","Pioneer School District","WA-34111","23","23402","Capital Region ESD 113"
"5306220","2010","Pomeroy School District","WA-24019","12","12110","Educational Service District 123"
"5306240","2010","Port Angeles School District","WA-21300","05","05121","Olympic Educational Service District 114"
"5306270","2010","Port Townsend School District","WA-33030","16","16050","Olympic Educational Service District 114"
"5306300","2010","Prescott School District","WA-28137","36","36402","Educational Service District 123"
"5306330","2010","PRIDE Prep Charter School District","WA-32123","32","32907","Spokane Public Schools Charter Authorizer"
"5306360","2010","Prosser School District","WA-10065","03","03116","Educational Service District 123"
"5306390","2010","Puget Sound Educational Service District 121","WA-09013","17","17801","Office of Superintendent of Public Instruction"
"5306420","2010","Pullman School District","WA-24410","38","38267","Educational Service District 101"
"5306450","2010","Puyallup School District","WA-27344","27","27003","Puget Sound Educational Service District 121"
"5306480","2010","Queets-Clearwater School District","WA-01147","16","16020","Olympic Educational Service District 114"
"5306510","2010","Quilcene School District","WA-09102","16","16048","Olympic Educational Service District 114"
"5306540","2010","Quillayute Valley School District","WA-38301","05","05402","Olympic Educational Service District 114"
"5306570","2010","Quincy School District","WA-11001","13","13144","North Central Educational Service District 171"
"5306600","2010","Rainier Prep Charter School District","WA-24122","17","17908","Washington State Charter School Commission"
