"mechanism","intent","orig.coding","icd10"
"All injury","Unintentional","V01-X59, Y85, Y86","V217"
"All injury","Unintentional","V01-X59, Y85, Y86","V218"
"All injury","Unintentional","V01-X59, Y85, Y86","V219"
"All injury","Unintentional","V01-X59, Y85, Y86","V220"
"All injury","Unintentional","V01-X59, Y85, Y86","V221"
"All injury","Unintentional","V01-X59, Y85, Y86","V222"
"All injury","Unintentional","V01-X59, Y85, Y86","V223"
"All injury","Unintentional","V01-X59, Y85, Y86","V224"
"All injury","Unintentional","V01-X59, Y85, Y86","V225"
"All injury","Unintentional","V01-X59, Y85, Y86","V226"
"All injury","Unintentional","V01-X59, Y85, Y86","V227"
"All injury","Unintentional","V01-X59, Y85, Y86","V228"
"All injury","Unintentional","V01-X59, Y85, Y86","V229"
"All injury","Unintentional","V01-X59, Y85, Y86","V230"
"All injury","Unintentional","V01-X59, Y85, Y86","V231"
"All injury","Unintentional","V01-X59, Y85, Y86","V232"
"All injury","Unintentional","V01-X59, Y85, Y86","V233"
"All injury","Unintentional","V01-X59, Y85, Y86","V234"
"All injury","Unintentional","V01-X59, Y85, Y86","V235"
"All injury","Unintentional","V01-X59, Y85, Y86","V236"
"All injury","Unintentional","V01-X59, Y85, Y86","V237"
"All injury","Unintentional","V01-X59, Y85, Y86","V238"
"All injury","Unintentional","V01-X59, Y85, Y86","V239"
"All injury","Unintentional","V01-X59, Y85, Y86","V240"
"All injury","Unintentional","V01-X59, Y85, Y86","V241"
"All injury","Unintentional","V01-X59, Y85, Y86","V242"
"All injury","Unintentional","V01-X59, Y85, Y86","V243"
"All injury","Unintentional","V01-X59, Y85, Y86","V244"
"All injury","Unintentional","V01-X59, Y85, Y86","V245"
"All injury","Unintentional","V01-X59, Y85, Y86","V246"
"All injury","Unintentional","V01-X59, Y85, Y86","V247"
"All injury","Unintentional","V01-X59, Y85, Y86","V248"
"All injury","Unintentional","V01-X59, Y85, Y86","V249"
"All injury","Unintentional","V01-X59, Y85, Y86","V250"
"All injury","Unintentional","V01-X59, Y85, Y86","V251"
"All injury","Unintentional","V01-X59, Y85, Y86","V252"
"All injury","Unintentional","V01-X59, Y85, Y86","V253"
"All injury","Unintentional","V01-X59, Y85, Y86","V254"
"All injury","Unintentional","V01-X59, Y85, Y86","V255"
"All injury","Unintentional","V01-X59, Y85, Y86","V256"
"All injury","Unintentional","V01-X59, Y85, Y86","V257"
"All injury","Unintentional","V01-X59, Y85, Y86","V258"
"All injury","Unintentional","V01-X59, Y85, Y86","V259"
"All injury","Unintentional","V01-X59, Y85, Y86","V260"
"All injury","Unintentional","V01-X59, Y85, Y86","V261"
"All injury","Unintentional","V01-X59, Y85, Y86","V262"
"All injury","Unintentional","V01-X59, Y85, Y86","V263"
"All injury","Unintentional","V01-X59, Y85, Y86","V264"
"All injury","Unintentional","V01-X59, Y85, Y86","V265"
"All injury","Unintentional","V01-X59, Y85, Y86","V266"
"All injury","Unintentional","V01-X59, Y85, Y86","V267"
"All injury","Unintentional","V01-X59, Y85, Y86","V268"
"All injury","Unintentional","V01-X59, Y85, Y86","V269"
"All injury","Unintentional","V01-X59, Y85, Y86","V270"
"All injury","Unintentional","V01-X59, Y85, Y86","V271"
